variable	level	reference_level	dummy_column	kept_as_dummy
Highest Lewy Body Disease	Limbic (Transitional)	Amygdala-predominant	Highest_Lewy_Body_Disease=Limbic (Transitional)	True
Highest Lewy Body Disease	Neocortical (Diffuse)	Amygdala-predominant	Highest_Lewy_Body_Disease=Neocortical (Diffuse)	True
Highest Lewy Body Disease	Not Identified (olfactory bulb assessed)	Amygdala-predominant	Highest_Lewy_Body_Disease=Not Identified (olfactory bulb assessed)	True
Highest Lewy Body Disease	Not Identified (olfactory bulb not assessed)	Amygdala-predominant	Highest_Lewy_Body_Disease=Not Identified (olfactory bulb not assessed)	True
Highest Lewy Body Disease	Olfactory bulb only	Amygdala-predominant	Highest_Lewy_Body_Disease=Olfactory bulb only	True
Atherosclerosis	Mild	Mild		False
Atherosclerosis	Missing	Mild	Atherosclerosis=Missing	True
Atherosclerosis	Moderate	Mild	Atherosclerosis=Moderate	True
Atherosclerosis	Severe	Mild	Atherosclerosis=Severe	True
Arteriolosclerosis	Mild	Mild		False
Arteriolosclerosis	Moderate	Mild	Arteriolosclerosis=Moderate	True
Arteriolosclerosis	Severe	Mild	Arteriolosclerosis=Severe	True
LATE	LATE Stage 1	LATE Stage 1		False
LATE	LATE Stage 2	LATE Stage 1	LATE=LATE Stage 2	True
LATE	LATE Stage 3	LATE Stage 1	LATE=LATE Stage 3	True
LATE	Not Identified	LATE Stage 1	LATE=Not Identified	True
LATE	Unclassifiable	LATE Stage 1	LATE=Unclassifiable	True
Severely Affected Donor	Missing	Missing		False
Severely Affected Donor	Y	Missing	Severely_Affected_Donor=Y	True
